timestamp,disc,J,J_inner,N_aps,N_inner,burnin,d_opt,d_true,iters_true_sol,per_times,time,times
1568283462.0491,0.1,1000,10,10,10,0.2,0.40926611980389493,0.5,1000000,0.9,0.015643540071323514,10
1568290236.154888,0.01,6000,2000,50,2000,0.2,0.4595803685933479,0.46,1000000,0.9,39.44599554198794,10
1568295889.89654,0.01,6000,100,300,100,0.05,0.4604766880973951,0.46,0.94,2.0568799290340394,50 
1568386194.379291,0.1,856,20,60,100,0.05,0.45103569078929523,0.46,1000000,0.9,0.2504914209712297,50
1568586306.908374,0.1,1000,100,100,100,0.05,0.628488774139091,0.46,1000000,0.9,0.6209565470926464,50
