x,y
0.0,0.0
10.1010101010101,4809.608237436274
20.2020202020202,5520.84611808198
30.3030303030303,5984.701871306787
40.4040404040404,6337.260823511032
50.505050505050505,6624.967735172342
60.6060606060606,6869.710891815602
70.7070707070707,7083.678848165584
80.8080808080808,7274.405749812888
90.9090909090909,7446.896861502959
101.01010101010101,7604.658341703278
111.1111111111111,7750.248180231547
121.2121212121212,7885.593760884393
131.3131313131313,8012.18588259462
141.4141414141414,8131.2029878509475
151.5151515151515,8243.593832325787
161.6161616161616,8350.134306700858
171.7171717171717,8451.467582016787
181.8181818181818,8548.133153460441
191.91919191919192,8640.58829099979
202.02020202020202,8729.224172218981
212.1212121212121,8814.378212423915
222.2222222222222,8896.343624613179
232.3232323232323,8975.376927820162
242.4242424242424,9051.703913156165
252.5252525252525,9125.5244347032
262.6262626262626,9197.016293961677
272.7272727272727,9266.338417247422
282.8282828282828,9333.6334758821
292.9292929292929,9399.030063098257
303.030303030303,9462.644515200684
313.1313131313131,9524.582444922406
323.2323232323232,9584.940040186251
333.3333333333333,9643.805170303816
343.4343434343434,9701.258333078787
353.5353535353535,9757.373469660173
363.6363636363636,9812.218668829824
373.73737373737373,9865.856778354673
383.83838383838383,9918.345937826056
393.93939393939394,9969.740044852702
404.04040404040404,10020.08916442461
414.1414141414141,10069.439889611333
424.2424242424242,10117.835660416766
434.3434343434343,10165.317046517384
444.4444444444444,10211.92199871347
454.5454545454545,10257.686073182373
464.6464646464646,10302.642632010216
474.7474747474747,10346.823022969074
484.8484848484848,10390.256741079895
494.9494949494949,10432.97157414546
505.050505050505,10474.9937341359
515.1515151515151,10516.347976055853
525.2525252525252,10557.057705706276
535.3535353535353,10597.1450775708
545.4545454545454,10636.631083899612
555.5555555555555,10675.535635929738
565.6565656565656,10713.877638065394
575.7575757575758,10751.675055742662
585.8585858585858,10788.944977616657
595.959595959596,10825.703672635816
606.060606060606,10861.966642501935
616.1616161616162,10897.748669960136
626.2626262626262,10933.063863311863
636.3636363636364,10967.925697502938
646.4646464646464,11002.347052099572
656.5656565656565,11036.340246432805
666.6666666666666,11069.917072162812
676.7676767676767,11103.088823488293
686.8686868686868,11135.86632520361
696.9696969696969,11168.259958786468
707.070707070707,11200.279686680662
717.1717171717171,11231.935074922552
727.2727272727273,11263.235314245994
737.3737373737373,11294.189239787624
747.4747474747475,11324.805349503027
757.5757575757575,11355.09182139446
767.6767676767677,11385.05652964143
777.7777777777777,11414.707059717666
787.8787878787879,11444.050722570051
797.9797979797979,11473.094567929555
808.0808080808081,11501.84539681685
818.1818181818181,11530.309773301447
828.2828282828282,11558.494035566871
838.3838383838383,11586.404306331426
848.4848484848484,11614.046502668678
858.5858585858585,11641.426345269567
868.6868686868686,11668.549367183581
878.7878787878788,11695.420922074256
888.8888888888888,11722.04619202111
898.989898989899,11748.430194897874
909.090909090909,11774.57779135441
919.1919191919192,11800.493691427888
929.2929292929292,11826.18246080654
939.3939393939394,11851.648526768011
949.4949494949494,11876.896183812481
959.5959595959596,11901.92959900926
969.6969696969696,11926.75281707414
979.7979797979797,11951.369765194122
989.8989898989898,11975.784257614114
1000.0,12000.000000000007
