d,EU
0.0,0.3378075667452738
0.01,0.3549493436100321
0.02,0.3734143158556812
0.03,0.39320215945909426
0.04,0.41403802879756074
0.05,0.4320121818717959
0.06,0.4535013619277071
0.07,0.4750179404652598
0.08,0.4944967626016221
0.09,0.5171077684330052
0.1,0.5394129589830258
0.11,0.5625635939821189
0.12,0.581957939532484
0.13,0.6055648935140795
0.14,0.6280674051853313
0.15,0.646250504592023
0.16,0.6661606580690228
0.17,0.6862880120385421
0.18,0.7047795501472824
0.19,0.7228197654570344
0.2,0.7402119379782602
0.21,0.7596498174562631
0.22,0.7714333423691668
0.23,0.7871080271743564
0.24,0.8006075088829907
0.25,0.8134810451941431
0.26,0.9138828121600407
0.27,0.9183896002631837
0.28,0.9226110367161843
0.29,0.926465998213555
0.3,0.9301516026948587
0.31,0.9329131895108348
0.32,0.9356658496126777
0.33,0.9379423862032793
0.34,0.9400049040382069
0.35000000000000003,0.941752473377168
0.36,0.9435110772018155
0.37,0.9447863377916542
0.38,0.9458926423702124
0.39,0.946782944746696
0.4,0.9475502959421741
0.41000000000000003,0.9481820744605579
0.42,0.9485805331905733
0.43,0.9490203234209256
0.44,0.9491671737432806
0.45,0.9494099950718667
0.46,0.9493396220709743
0.47000000000000003,0.9493441509425403
0.48,0.9492427809665549
0.49,0.9489812122006787
0.5,0.9487097383942825
0.51,0.9483791401380638
0.52,0.9480053424074306
0.53,0.9475504014681556
0.54,0.9470977230332958
0.55,0.9465601684761547
0.56,0.9460173410087656
0.5700000000000001,0.9454405524650484
0.58,0.9448257123439554
0.59,0.9441849785679665
0.6,0.9434938577300718
0.61,0.9428076334761475
0.62,0.9421012020529181
0.63,0.9413718127739995
0.64,0.9406176861921679
0.65,0.939845580435367
0.66,0.9390865098708321
0.67,0.9382937836143858
0.68,0.9374951254307831
0.6900000000000001,0.936685841471909
0.7000000000000001,0.9358619187353618
0.71,0.9350376389063342
0.72,0.9342077176387513
0.73,0.9333670847544268
0.74,0.9325146654554011
0.75,0.9316654533747555
0.76,0.9308108420759075
0.77,0.9299480624321109
0.78,0.9290811688638084
0.79,0.9282124949235555
0.8,0.9273418383171591
0.81,0.9264634170767453
0.8200000000000001,0.9255852197356087
0.8300000000000001,0.9247038566097544
0.84,0.923820450502411
0.85,0.9229355951418484
0.86,0.9220464087728681
0.87,0.9211581448566688
0.88,0.9202676266988882
0.89,0.9193764585171451
0.9,0.918482755476213
0.91,0.9175891117449377
0.92,0.9166934722469697
0.93,0.9157960626149514
0.9400000000000001,0.9148999296963314
0.9500000000000001,0.9140018540502094
0.96,0.9131036193072698
0.97,0.9122039995086592
0.98,0.9113047305196788
0.99,0.910404392286694
