d,mean,std
0,11.179999208151548,0.00787832154584546
1,12.615274717321062,0.007874979060449108
2,13.288581050033685,0.007820651354960509
3,13.996957857307224,0.007660974019070075
4,14.708650320963917,0.007393662893994602
5,15.478277121959394,0.00696326885776328
6,16.27289666190014,0.0063411567765881945
7,17.094070127635874,0.0054446769693719844
8,18.88831956006587,1.0658141036401503e-17
9,18.86413416502748,1.7763568394002505e-17
